taxlevel	rankID	taxon	daughterlevels	total	AB1382_L5	AB1383_L5	AB2284_L1	AB2285_L1	AB2286_L1	AB2287_L1	AB2288_L1	AB2289_L1	AB2290_L1	AB2291_L1	AB2292_L1	AB2293_L1	AB2294_L1	AB2295_L1	AB2296_L1	AB2297_L1	AB2298_L1	AB2299_L1	AB2300_L1	AB2301_L1	AB2302_L1	AB2303_L1
0	0	Root	2	12598854	1011151	1232809	396301	483559	678	602975	507793	501585	438519	523505	621713	684643	529211	601035	408793	500072	570752	692596	592785	626180	477305	594894
1	0.1	Bacteria	27	8253714	718298	867411	251118	314556	185	399300	328944	306555	278169	327175	388914	455407	344583	402780	268352	322447	373551	449361	395540	412170	290432	358466
2	0.1.1	Acidobacteria	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
3	0.1.1.1	Acidobacteriia	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
4	0.1.1.1.1	Acidobacteriales	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
5	0.1.1.1.1.1	Acidobacteriaceae	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
6	0.1.1.1.1.1.1	Granulicella	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
7	0.1.1.1.1.1.1.1	Granulicella_cerasi	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
6	0.1.1.1.1.1.2	Terriglobus	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
7	0.1.1.1.1.1.2.1	Terriglobus_roseus	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
2	0.1.2	Actinobacteria	5	52161	14098	158	953	1016	0	566	591	1820	8211	5718	454	933	494	1099	484	1008	648	997	4678	6960	589	686
3	0.1.2.1	Acidimicrobiia	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
4	0.1.2.1.1	Acidimicrobiales	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
5	0.1.2.1.1.1	Acidimicrobiaceae	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
6	0.1.2.1.1.1.1	Acidimicrobium	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
7	0.1.2.1.1.1.1.1	Acidimicrobium_ferrooxidans	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0
3	0.1.2.2	Actinobacteria	12	39780	14093	146	753	725	0	196	124	76	7259	5052	217	211	205	119	203	321	150	207	3666	5653	183	221
4	0.1.2.2.1	Actinomycetales	1	14512	13897	125	59	44	0	57	7	5	14	32	17	28	29	16	44	55	3	24	8	9	19	20
5	0.1.2.2.1.1	Actinomycetaceae	1	14512	13897	125	59	44	0	57	7	5	14	32	17	28	29	16	44	55	3	24	8	9	19	20
6	0.1.2.2.1.1.1	Actinomyces	11	14512	13897	125	59	44	0	57	7	5	14	32	17	28	29	16	44	55	3	24	8	9	19	20
7	0.1.2.2.1.1.1.1	Actinomyces_hominis	0	208	0	0	49	25	0	0	0	0	13	26	0	0	0	0	31	31	0	0	0	0	14	19
7	0.1.2.2.1.1.1.2	Actinomyces_oricola	0	14	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0
7	0.1.2.2.1.1.1.3	Actinomyces_orihominis	0	174	0	0	10	8	0	56	0	0	0	3	8	22	16	7	7	14	3	20	0	0	0	0
7	0.1.2.2.1.1.1.4	Actinomyces_ruminicola	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.1.1.1.5	Actinomyces_slackii	0	9	0	0	0	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	3	0
7	0.1.2.2.1.1.1.6	Actinomyces_species_S8_AA1_3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.1.1.1.7	Actinomyces_species_oral_clone_AG004	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.1.1.1.8	Actinomyces_species_oral_clone_IP073	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.1.1.1.9	Actinomyces_species_oral_strain_B19SC	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0
7	0.1.2.2.1.1.1.10	Actinomyces_species_oral_strain_Hal_1083	0	14028	13897	125	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1
7	0.1.2.2.1.1.1.11	Actinomyces_timonensis	0	64	0	0	0	0	0	1	6	0	0	0	6	4	13	2	6	10	0	0	7	9	0	0
4	0.1.2.2.2	Actinopolyspeciesrales	1	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
5	0.1.2.2.2.1	Actinopolysporaceae	1	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
6	0.1.2.2.2.1.1	Actinopolyspora	1	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
7	0.1.2.2.2.1.1.1	Actinopolyspora_species_T5S1	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
4	0.1.2.2.3	Bifidobacteriales	1	22086	0	0	471	283	0	22	19	12	7080	4841	39	39	26	25	4	8	31	44	3565	5512	31	34
5	0.1.2.2.3.1	Bifidobacteriaceae	3	22086	0	0	471	283	0	22	19	12	7080	4841	39	39	26	25	4	8	31	44	3565	5512	31	34
6	0.1.2.2.3.1.1	Aeriscardovia	1	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0
7	0.1.2.2.3.1.1.1	Aeriscardovia_aeriphila	0	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0
6	0.1.2.2.3.1.2	Alloscardovia	1	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.3.1.2.1	Alloscardovia_species_OB7196	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.2.3.1.3	Bifidobacterium	12	22075	0	0	467	283	0	22	19	12	7080	4841	39	39	23	25	4	8	31	40	3565	5512	31	34
7	0.1.2.2.3.1.3.1	Bifidobacterium_animalis	0	52	0	0	0	3	0	1	9	1	2	9	6	0	8	0	1	0	7	4	0	1	0	0
7	0.1.2.2.3.1.3.2	Bifidobacterium_biavatii	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
7	0.1.2.2.3.1.3.3	Bifidobacterium_bifidum	0	81	0	0	8	10	0	8	0	4	0	0	7	3	0	0	0	4	3	11	0	6	17	0
7	0.1.2.2.3.1.3.4	Bifidobacterium_longum	0	17	0	0	1	5	0	0	0	0	0	0	5	1	0	0	0	1	4	0	0	0	0	0
7	0.1.2.2.3.1.3.5	Bifidobacterium_magnum	0	30	0	0	1	20	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2
7	0.1.2.2.3.1.3.6	Bifidobacterium_pseudocatenulatum	0	4	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
7	0.1.2.2.3.1.3.7	Bifidobacterium_pseudolongum	0	21843	0	0	457	242	0	9	1	7	7078	4832	20	34	1	25	3	3	13	15	3563	5497	13	30
7	0.1.2.2.3.1.3.8	Bifidobacterium_species_AcjBF4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0
7	0.1.2.2.3.1.3.9	Bifidobacterium_species_LISLUCIII_2	0	12	0	0	0	0	0	1	3	0	0	0	0	1	2	0	0	0	0	0	0	5	0	0
7	0.1.2.2.3.1.3.10	Bifidobacterium_species_group_I_3	0	16	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	4	5	0	0	0	0
7	0.1.2.2.3.1.3.11	Bifidobacterium_thermacidophilum	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
7	0.1.2.2.3.1.3.12	Bifidobacterium_tsurumiense	0	8	0	0	0	3	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.2.4	Corynebacteriales	4	940	22	1	104	127	0	7	10	8	83	72	27	16	10	3	100	138	17	36	6	17	52	84
5	0.1.2.2.4.1	Corynebacteriaceae	1	45	22	1	0	0	0	0	0	1	0	0	0	8	4	0	0	0	1	0	0	5	0	3
6	0.1.2.2.4.1.1	Corynebacterium	3	45	22	1	0	0	0	0	0	1	0	0	0	8	4	0	0	0	1	0	0	5	0	3
7	0.1.2.2.4.1.1.1	Corynebacterium_species	0	10	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	5	0	0
7	0.1.2.2.4.1.1.2	Corynebacterium_species_61720	0	23	22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.4.1.1.3	Corynebacterium_striatum	0	12	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	3
5	0.1.2.2.4.2	Gordoniaceae	1	33	0	0	3	13	0	0	1	0	0	0	2	0	2	0	0	0	0	11	0	0	0	1
6	0.1.2.2.4.2.1	Gordonia	2	33	0	0	3	13	0	0	1	0	0	0	2	0	2	0	0	0	0	11	0	0	0	1
7	0.1.2.2.4.2.1.1	Gordonia_species_GORD_TOLU5	0	31	0	0	3	13	0	0	1	0	0	0	2	0	0	0	0	0	0	11	0	0	0	1
7	0.1.2.2.4.2.1.2	Gordonia_species_SCNU1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
5	0.1.2.2.4.3	Mycobacteriaceae	1	96	0	0	2	0	0	3	6	1	10	9	7	6	0	1	0	2	7	13	3	7	10	9
6	0.1.2.2.4.3.1	Mycobacterium	7	96	0	0	2	0	0	3	6	1	10	9	7	6	0	1	0	2	7	13	3	7	10	9
7	0.1.2.2.4.3.1.1	Mycobacterium_brumae	0	11	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	5	0	3
7	0.1.2.2.4.3.1.2	Mycobacterium_chesapeaki	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.4.3.1.3	Mycobacterium_lepromatosis	0	22	0	0	0	0	0	0	0	1	10	6	2	0	0	0	0	0	0	0	0	0	3	0
7	0.1.2.2.4.3.1.4	Mycobacterium_peregrinum	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.4.3.1.5	Mycobacterium_species_1764	0	49	0	0	0	0	0	3	3	0	0	2	4	5	0	1	0	1	3	13	3	0	6	5
7	0.1.2.2.4.3.1.6	Mycobacterium_species_TY_6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
7	0.1.2.2.4.3.1.7	Mycobacterium_species_V_2010	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1
5	0.1.2.2.4.4	Nocardiaceae	2	766	0	0	99	114	0	4	3	6	73	63	18	2	4	2	100	136	9	12	3	5	42	71
6	0.1.2.2.4.4.1	Nocardia	3	662	0	0	85	104	0	3	0	1	72	61	6	2	0	0	95	124	0	0	0	1	41	67
7	0.1.2.2.4.4.1.1	Nocardia_brasiliensis	0	13	0	0	0	0	0	3	0	1	0	0	6	0	0	0	0	1	0	0	0	1	0	1
7	0.1.2.2.4.4.1.2	Nocardia_brevicatena	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.4.4.1.3	Nocardia_roseoalba	0	647	0	0	85	104	0	0	0	0	72	61	0	0	0	0	95	123	0	0	0	0	41	66
6	0.1.2.2.4.4.2	Rhodococcus	6	104	0	0	14	10	0	1	3	5	1	2	12	0	4	2	5	12	9	12	3	4	1	4
7	0.1.2.2.4.4.2.1	Rhodococcus_species_B184	0	5	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.2.4.4.2.2	Rhodococcus_species_ED7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
7	0.1.2.2.4.4.2.3	Rhodococcus_species_HS1	0	19	0	0	3	8	0	0	0	0	0	0	2	0	1	0	0	0	3	2	0	0	0	0
7	0.1.2.2.4.4.2.4	Rhodococcus_species_MN18	0	40	0	0	4	1	0	1	3	5	1	2	5	0	3	0	0	0	0	3	3	4	1	4
7	0.1.2.2.4.4.2.5	Rhodococcus_species_MN8_9	0	26	0	0	7	1	0	0	0	0	0	0	0	0	0	0	3	12	2	1	0	0	0	0
7	0.1.2.2.4.4.2.6	Rhodococcus_species_TG14	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	6	0	0	0	0
4	0.1.2.2.5	Geodermatophilales	1	42	0	0	10	12	0	0	0	0	0	5	0	0	0	4	0	0	1	10	0	0	0	0
5	0.1.2.2.5.1	Geodermatophilaceae	1	42	0	0	10	12	0	0	0	0	0	5	0	0	0	4	0	0	1	10	0	0	0	0
6	0.1.2.2.5.1.1	Blastococcus	2	42	0	0	10	12	0	0	0	0	0	5	0	0	0	4	0	0	1	10	0	0	0	0
7	0.1.2.2.5.1.1.1	Blastococcus_aggregatus	0	37	0	0	10	12	0	0	0	0	0	0	0	0	0	4	0	0	1	10	0	0	0	0
7	0.1.2.2.5.1.1.2	Blastococcus_species_NP3_12	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.2.6	Glycomycetales	1	103	0	0	2	10	0	5	2	0	2	7	17	1	9	5	0	7	6	2	10	12	0	6
5	0.1.2.2.6.1	Glycomycetaceae	1	103	0	0	2	10	0	5	2	0	2	7	17	1	9	5	0	7	6	2	10	12	0	6
6	0.1.2.2.6.1.1	Glycomyces	9	103	0	0	2	10	0	5	2	0	2	7	17	1	9	5	0	7	6	2	10	12	0	6
7	0.1.2.2.6.1.1.1	Glycomyces_albus	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
7	0.1.2.2.6.1.1.2	Glycomyces_mongolensis	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
7	0.1.2.2.6.1.1.3	Glycomyces_species_AACh4	0	21	0	0	0	3	0	0	2	0	0	7	1	0	0	0	0	0	0	0	0	6	0	2
7	0.1.2.2.6.1.1.4	Glycomyces_species_AB82_M	0	39	0	0	2	2	0	5	0	0	2	0	11	1	0	1	0	4	1	2	5	3	0	0
7	0.1.2.2.6.1.1.5	Glycomyces_species_AB83_M	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
7	0.1.2.2.6.1.1.6	Glycomyces_species_TRM_45127	0	21	0	0	0	0	0	0	0	0	0	0	3	0	7	2	0	3	0	0	5	0	0	1
7	0.1.2.2.6.1.1.7	Glycomyces_species_W3M46	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
7	0.1.2.2.6.1.1.8	Glycomyces_species_YIM_93776	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
7	0.1.2.2.6.1.1.9	Glycomyces_tarimensis	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.2.7	Micrococcales	7	635	54	8	48	107	0	20	20	1	37	34	24	39	13	12	28	42	24	22	7	26	43	26
5	0.1.2.2.7.1	Brevibacteriaceae	1	18	0	0	4	1	0	0	0	0	0	0	0	0	1	4	0	4	1	0	1	2	0	0
6	0.1.2.2.7.1.1	Brevibacterium	1	18	0	0	4	1	0	0	0	0	0	0	0	0	1	4	0	4	1	0	1	2	0	0
7	0.1.2.2.7.1.1.1	Brevibacterium_species_2	0	18	0	0	4	1	0	0	0	0	0	0	0	0	1	4	0	4	1	0	1	2	0	0
