sample	treatment
Healthy1	Healthy
Healthy2	Healthy
Healthy3	Healthy
Healthy4	Healthy
Healthy5	Healthy
Healthy6	Healthy
Healthy7	Healthy
Healthy8	Healthy
Healthy9	Healthy
Healthy10	Healthy
Healthy11	Healthy
Healthy12	Healthy
Healthy13	Healthy
Healthy14	Healthy
Healthy15	Healthy
Healthy16	Healthy
Healthy17	Healthy
Healthy18	Healthy
Healthy19	Healthy
Healthy20	Healthy
Healthy21	Healthy
Healthy22	Healthy
Healthy23	Healthy
Healthy24	Healthy
Healthy25	Healthy
Healthy26	Healthy
Healthy27	Healthy
Healthy28	Healthy
Healthy29	Healthy
Healthy30	Healthy
Ademona1	Adenoma
Adenoma2	Adenoma
Adenoma3	Adenoma
Adenoma4	Adenoma
Adenoma5	Adenoma
Adenoma6	Adenoma
Adenoma7	Adenoma
Adenoma8	Adenoma
Adenoma9	Adenoma
Adenoma10	Adenoma
Adenoma11	Adenoma
ADenoma12	Adenoma
Adenoma13	Adenoma
Adenoma14	Adenoma
Adenoma15	Adenoma
Adenoma16	Adenoma
Adenoma17	Adenoma
Adenoma18	Adenoma
Adenoma19	Adenoma
Adenoma20	Adenoma
Adenoma21	Adenoma
Adenoma22	Adenoma
Adenoma23	Adenoma
Adenoma24	Adenoma
Adenoma25	Adenoma
Adenoma26	Adenoma
Adenoma27	Adenoma
Adenoma28	Adenoma
Adenoma29	Adenoma
Adenoma30	Adenoma
Cancer1	Cancer
Cancer2	Cancer
Cancer3	Cancer
Cancer4	Cancer
Cancer5	Cancer
Cancer6	Cancer
Cancer7	Cancer
Cancer8	Cancer
Cancer9	Cancer
Cancer10	Cancer
Cancer11	Cancer
Cancer12	Cancer
Cancer13	Cancer
Cancer14	Cancer
Cancer15	Cancer
Cancer16	Cancer
Cancer17	Cancer
Cancer18	Cancer
Cancer19	Cancer
Cancer20	Cancer
Cancer21	Cancer
Cancer22	Cancer
Cancer23	Cancer
Cancer24	Cancer
Cancer25	Cancer
Cancer26	Cancer
Cancer27	Cancer
Cancer28	Cancer
Cancer29	Cancer
Cancer30	Cancer
