taxlevel	rankID	taxon	daughterlevels	total	ADenoma12	Ademona1	Adenoma10	Adenoma11	Adenoma13	Adenoma14	Adenoma15	Adenoma16	Adenoma17	Adenoma18	Adenoma19	Adenoma2	Adenoma20	Adenoma21	Adenoma22	Adenoma23	Adenoma24	Adenoma25	Adenoma26	Adenoma27	Adenoma28	Adenoma29	Adenoma3	Adenoma30	Adenoma4	Adenoma5	Adenoma6	Adenoma7	Adenoma8	Adenoma9	Cancer1	Cancer10	Cancer11	Cancer12	Cancer13	Cancer14	Cancer15	Cancer16	Cancer17	Cancer18	Cancer19	Cancer2	Cancer20	Cancer21	Cancer22	Cancer23	Cancer24	Cancer25	Cancer26	Cancer27	Cancer28	Cancer29	Cancer3	Cancer30	Cancer4	Cancer5	Cancer6	Cancer7	Cancer8	Cancer9	Healthy1	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy2	Healthy20	Healthy21	Healthy22	Healthy23	Healthy24	Healthy25	Healthy26	Healthy27	Healthy28	Healthy29	Healthy3	Healthy30	Healthy4	Healthy5	Healthy6	Healthy7	Healthy8	Healthy9	mock1	mock2
0	0	Root	1	11330501	47199	134278	64968	108396	130575	231620	123831	114940	64828	50991	126451	119654	101307	26786	91335	108566	106739	86167	127715	105846	81543	105818	116846	76552	112818	74210	96114	133120	80370	117450	121982	142805	155360	92929	147559	142973	111725	118701	116923	80744	79819	152811	167761	139257	197888	166983	104459	94236	67717	118415	63461	96814	69804	164147	122833	144896	157175	493677	71090	47407	134414	73219	92382	118058	457795	126907	165870	116042	167375	114991	226780	122382	142049	67691	87995	64945	50564	121552	118739	109815	98326	267732	99812	186322	55037	151215	131214	88100	177757	123347	153129	99561
1	0.1	Bacteria	9	11330501	47199	134278	64968	108396	130575	231620	123831	114940	64828	50991	126451	119654	101307	26786	91335	108566	106739	86167	127715	105846	81543	105818	116846	76552	112818	74210	96114	133120	80370	117450	121982	142805	155360	92929	147559	142973	111725	118701	116923	80744	79819	152811	167761	139257	197888	166983	104459	94236	67717	118415	63461	96814	69804	164147	122833	144896	157175	493677	71090	47407	134414	73219	92382	118058	457795	126907	165870	116042	167375	114991	226780	122382	142049	67691	87995	64945	50564	121552	118739	109815	98326	267732	99812	186322	55037	151215	131214	88100	177757	123347	153129	99561
2	0.1.1	Actinobacteria	2	418705	418	201	3915	196	267	4320	184	696	10254	3567	10003	5168	1270	191	5417	5333	6692	4113	3426	5441	13570	11234	6815	290	6624	613	337	14553	45	422	1942	7006	2846	6322	2415	1775	556	573	3114	621	2624	1485	744	142	2529	1755	6072	7743	2981	5574	46	7360	3623	1902	12050	10057	1309	21729	15332	784	35	14196	19040	7294	137	162	2911	25238	14833	1312	2484	106	1245	800	2513	1281	1689	7501	3053	599	3374	5292	4545	1524	790	16826	309	918	1658	10263	3810	4381
3	0.1.1.1	Actinobacteria	6	218086	406	121	56	108	261	4216	178	657	10210	2925	1763	553	107	31	123	269	5913	1299	743	463	7958	186	963	273	3868	133	335	12652	29	411	1459	3677	152	164	445	909	44	569	1416	221	465	340	735	133	2507	1729	714	7741	2977	5559	45	2901	1250	790	1832	4920	1112	4891	9225	113	24	721	19034	508	118	94	601	25227	10727	471	2003	53	19	84	2404	60	1281	3250	3016	392	712	148	1189	281	729	13181	292	905	1646	4490	3805	4376
4	0.1.1.1.1	Actinomycetales	1	22314	180	57	44	75	219	66	173	207	119	316	34	36	98	16	15	246	34	28	25	406	31	174	31	234	96	3	312	130	10	32	351	372	128	90	396	26	36	73	31	99	120	283	33	7	241	176	77	771	15	21	5	120	80	151	180	49	41	6	39	95	10	28	45	463	4	70	119	222	55	5	844	35	15	54	157	11	280	3014	220	52	43	115	175	132	37	55	55	765	34	509	3463	3669
5	0.1.1.1.1.1	Actinomycetaceae	4	22314	180	57	44	75	219	66	173	207	119	316	34	36	98	16	15	246	34	28	25	406	31	174	31	234	96	3	312	130	10	32	351	372	128	90	396	26	36	73	31	99	120	283	33	7	241	176	77	771	15	21	5	120	80	151	180	49	41	6	39	95	10	28	45	463	4	70	119	222	55	5	844	35	15	54	157	11	280	3014	220	52	43	115	175	132	37	55	55	765	34	509	3463	3669
6	0.1.1.1.1.1.1	Actinobaculum	1	301	16	0	2	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	4	1	0	0	9	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	1	0	4	18	2	0	0	0	1	19	0	2	5	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	31	0	0	4	5	5	0	2	0	0	3	2	4	2	0	129	0	0
7	0.1.1.1.1.1.1.1	Actinobaculum_species_oral_clone_EL030	0	301	16	0	2	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	4	1	0	0	9	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	1	0	4	18	2	0	0	0	1	19	0	2	5	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	31	0	0	4	5	5	0	2	0	0	3	2	4	2	0	129	0	0
6	0.1.1.1.1.1.2	Actinomyces	5	21829	164	57	42	75	215	66	173	207	119	311	25	25	98	16	7	246	34	25	25	406	27	173	27	234	87	3	312	125	10	32	351	346	128	82	391	26	36	73	31	99	120	283	32	7	237	158	75	771	15	21	4	101	80	149	175	49	41	6	39	61	10	28	45	463	4	67	116	220	51	2	844	35	13	54	126	11	280	3010	205	46	43	100	175	132	34	53	48	763	34	332	3463	3669
7	0.1.1.1.1.1.2.1	Actinomyces_odontolyticus	0	20069	54	54	42	23	180	52	108	164	98	261	4	5	87	14	6	225	31	25	12	221	19	147	12	217	77	3	267	106	10	27	338	321	124	10	388	25	29	32	27	98	103	272	22	7	225	123	54	760	15	0	3	47	69	136	120	46	40	6	28	61	8	17	31	458	4	48	107	147	41	2	834	34	9	54	92	11	271	2995	185	32	33	83	126	96	34	36	41	728	27	273	3463	3669
7	0.1.1.1.1.1.2.2	Actinomyces_orihominis	0	178	61	0	0	0	0	0	0	10	6	14	0	0	1	0	0	2	0	0	0	7	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	1	2	2	1	1	0	0	0	2	0	0	0	10	0	0	0	0	30	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0
7	0.1.1.1.1.1.2.3	Actinomyces_species_oral_clone_DR002	0	509	0	0	0	0	35	2	51	29	0	2	0	1	5	2	0	10	3	0	3	27	1	26	15	4	2	0	26	16	0	0	12	15	0	0	2	0	2	0	1	0	0	2	10	0	10	2	12	9	0	4	0	0	1	2	2	3	0	0	0	0	0	0	0	0	0	6	1	35	0	0	4	0	0	0	2	0	0	0	2	1	0	0	25	19	0	15	0	9	4	37	0	0
7	0.1.1.1.1.1.2.4	Actinomyces_species_oral_clone_IP073	0	1019	49	3	0	52	0	12	14	4	15	31	19	11	5	0	1	9	0	0	9	151	7	0	0	2	8	0	18	3	0	5	1	10	4	72	1	1	3	41	3	1	16	9	0	0	2	27	9	0	0	17	0	32	8	10	51	0	1	0	9	0	2	8	4	5	0	11	6	8	8	0	6	1	1	0	27	0	9	15	18	12	10	17	24	15	0	2	7	22	3	22	0	0
7	0.1.1.1.1.1.2.5	Actinomyces_species_oral_taxon_848	0	54	0	0	0	0	0	0	0	0	0	3	2	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
6	0.1.1.1.1.1.3	Mobiluncus	1	83	0	0	0	0	4	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	4	3	0	0	2	0	0	0	0	0	0	1	0	10	0	0	0	0	3	0	0	0	0	0
7	0.1.1.1.1.1.3.1	Mobiluncus_curtisii	0	83	0	0	0	0	4	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	4	3	0	0	2	0	0	0	0	0	0	1	0	10	0	0	0	0	3	0	0	0	0	0
6	0.1.1.1.1.1.4	Varibaculum	1	101	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	48	0	0
7	0.1.1.1.1.1.4.1	Varibaculum_cambriense	0	101	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	48	0	0
4	0.1.1.1.2	Bifidobacteriales	1	192223	17	47	12	24	22	4086	5	270	10083	2583	1714	487	9	4	100	17	5862	1262	700	42	7927	12	916	9	3756	129	8	12500	11	95	1051	3294	17	22	0	883	4	455	1376	111	14	15	690	126	2255	1535	618	6837	2913	5536	35	2766	1164	628	1649	4871	1063	4725	9186	6	9	687	18989	21	92	20	463	24985	10663	464	1002	4	3	24	2200	10	933	13	2777	266	668	5	1007	129	691	13116	224	22	1610	3965	35	572
5	0.1.1.1.2.1	Bifidobacteriaceae	2	192223	17	47	12	24	22	4086	5	270	10083	2583	1714	487	9	4	100	17	5862	1262	700	42	7927	12	916	9	3756	129	8	12500	11	95	1051	3294	17	22	0	883	4	455	1376	111	14	15	690	126	2255	1535	618	6837	2913	5536	35	2766	1164	628	1649	4871	1063	4725	9186	6	9	687	18989	21	92	20	463	24985	10663	464	1002	4	3	24	2200	10	933	13	2777	266	668	5	1007	129	691	13116	224	22	1610	3965	35	572
6	0.1.1.1.2.1.1	Bifidobacterium	2	192199	17	47	12	24	22	4086	5	270	10083	2583	1710	487	9	4	100	17	5862	1262	700	42	7927	12	916	9	3756	129	8	12500	11	95	1051	3294	17	13	0	883	4	453	1376	111	14	15	690	126	2255	1535	616	6837	2913	5532	35	2766	1164	628	1649	4871	1063	4725	9186	6	9	687	18989	21	92	20	463	24985	10663	464	1002	4	3	24	2200	10	933	13	2777	266	668	5	1007	126	691	13116	224	22	1610	3965	35	572
7	0.1.1.1.2.1.1.1	Bifidobacterium_species_TM_7	0	192158	9	47	12	24	14	4078	5	270	10083	2583	1710	482	9	4	100	17	5862	1262	700	41	7927	12	916	9	3756	129	8	12500	11	95	1044	3294	17	13	0	883	4	453	1376	111	14	15	690	126	2255	1535	616	6837	2913	5532	35	2766	1164	628	1649	4871	1063	4725	9186	6	5	687	18989	21	92	20	463	24985	10663	464	1002	4	3	24	2200	10	933	13	2777	266	668	5	1007	126	691	13116	224	22	1610	3965	35	572
7	0.1.1.1.2.1.1.2	Bifidobacterium_species_oral_strain_H6_M4	0	41	8	0	0	0	8	8	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.1.1.2.1.2	Parascardovia	1	24	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
7	0.1.1.1.2.1.2.1	Parascardovia_denticolens	0	24	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
4	0.1.1.1.3	Corynebacteriales	2	453	29	0	0	1	0	0	0	8	0	0	0	5	0	8	0	0	0	0	0	1	0	0	0	4	0	1	3	0	0	236	0	7	0	16	2	0	4	0	0	0	0	0	8	0	4	5	0	2	1	0	0	2	3	3	2	0	1	0	0	0	1	3	0	0	0	0	5	2	0	0	0	0	1	0	25	0	0	1	9	10	0	2	0	0	0	2	7	14	0	15	0	0
5	0.1.1.1.3.1	Corynebacteriaceae	1	210	29	0	0	1	0	0	0	8	0	0	0	5	0	8	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	4	0	4	0	16	2	0	2	0	0	0	0	0	8	0	4	5	0	2	0	0	0	2	3	3	2	0	1	0	0	0	1	3	0	0	0	0	5	2	0	0	0	0	1	0	25	0	0	1	9	10	0	2	0	0	0	2	7	14	0	13	0	0
6	0.1.1.1.3.1.1	Corynebacterium	3	210	29	0	0	1	0	0	0	8	0	0	0	5	0	8	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	4	0	4	0	16	2	0	2	0	0	0	0	0	8	0	4	5	0	2	0	0	0	2	3	3	2	0	1	0	0	0	1	3	0	0	0	0	5	2	0	0	0	0	1	0	25	0	0	1	9	10	0	2	0	0	0	2	7	14	0	13	0	0
7	0.1.1.1.3.1.1.1	Corynebacterium_durum	0	148	15	0	0	1	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	4	0	0	0	16	2	0	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	2	0	3	2	0	1	0	0	0	1	3	0	0	0	0	5	1	0	0	0	0	1	0	20	0	0	1	1	8	0	2	0	0	0	2	7	14	0	13	0	0
7	0.1.1.1.3.1.1.2	Corynebacterium_matruchotii	0	28	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.1.1.3.1.1.3	Corynebacterium_species_61720	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.1.1.3.2	Dietziaceae	1	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	232	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
6	0.1.1.1.3.2.1	Dietzia	1	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	232	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
7	0.1.1.1.3.2.1.1	Dietzia_species_JSM_077011	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	232	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
4	0.1.1.1.4	Micrococcales	2	1741	180	3	0	8	5	58	0	172	8	1	15	25	0	1	7	6	16	2	18	14	0	0	16	0	16	0	0	22	6	47	40	4	3	36	2	0	0	40	9	2	331	28	4	0	7	8	19	6	42	0	5	13	1	2	1	0	7	159	0	12	4	3	0	4	22	4	14	18	5	2	13	13	0	6	22	3	14	3	10	64	1	26	5	19	1	8	6	21	2	1	0	0
5	0.1.1.1.4.1	Brevibacteriaceae	1	53	0	0	0	0	0	0	0	0	4	1	2	0	0	0	5	0	0	2	0	0	0	0	0	0	6	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	2	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.1.1.4.1.1	Brevibacterium	1	53	0	0	0	0	0	0	0	0	4	1	2	0	0	0	5	0	0	2	0	0	0	0	0	0	6	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	2	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.1.1.4.1.1.1	Brevibacterium_species_H15	0	53	0	0	0	0	0	0	0	0	4	1	2	0	0	0	5	0	0	2	0	0	0	0	0	0	6	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	2	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.1.1.4.2	Micrococcaceae	1	1688	180	3	0	8	5	58	0	172	4	0	13	25	0	1	2	6	16	0	18	14	0	0	16	0	10	0	0	22	3	47	40	2	3	36	2	0	0	40	9	2	327	28	4	0	7	8	16	6	42	0	5	13	1	2	1	0	7	159	0	12	4	3	0	4	18	4	14	13	5	0	4	13	0	6	21	3	14	3	10	64	1	26	5	19	1	8	6	21	2	1	0	0
6	0.1.1.1.4.2.1	Rothia	2	1688	180	3	0	8	5	58	0	172	4	0	13	25	0	1	2	6	16	0	18	14	0	0	16	0	10	0	0	22	3	47	40	2	3	36	2	0	0	40	9	2	327	28	4	0	7	8	16	6	42	0	5	13	1	2	1	0	7	159	0	12	4	3	0	4	18	4	14	13	5	0	4	13	0	6	21	3	14	3	10	64	1	26	5	19	1	8	6	21	2	1	0	0
7	0.1.1.1.4.2.1.1	Rothia_dentocariosa	0	202	11	0	0	5	0	6	0	19	0	0	2	1	0	0	0	3	0	0	0	3	0	0	5	0	0	0	0	3	0	24	0	2	0	10	0	0	0	7	0	1	5	0	0	0	4	0	0	0	15	0	0	13	0	2	1	0	0	0	0	0	0	0	0	4	8	4	1	0	2	0	0	6	0	0	2	0	0	0	3	27	0	0	0	0	0	0	0	0	2	1	0	0
7	0.1.1.1.4.2.1.2	Rothia_mucilaginosa	0	1486	169	3	0	3	5	52	0	153	4	0	11	24	0	1	2	3	16	0	18	11	0	0	11	0	10	0	0	19	3	23	40	0	3	26	2	0	0	33	9	1	322	28	4	0	3	8	16	6	27	0	5	0	1	0	0	0	7	159	0	12	4	3	0	0	10	0	13	13	3	0	4	7	0	6	19	3	14	3	7	37	1	26	5	19	1	8	6	21	0	0	0	0
